date,ipca_monthly_rate,ipca_accumulated_ytd_rate,ipca_12m_rate
2022-10,0.0059,0.0470373195163966,0.0647001585223807
2022-11,0.0040999999999999,0.0513301725264139,0.0590048827858569
2022-12,0.0062,0.0578484195960775,0.0578484195960775
2023-01,0.0053,0.0053,0.0577432029241462
2023-02,0.0084,0.0137445200000001,0.0559630193334412
2023-03,0.0070999999999999,0.0209421060920003,0.0465069442734789
2023-04,0.0060999999999999,0.0271698529391615,0.0418470578206482
2023-05,0.0023,0.0295323436009216,0.0393583219405153
2023-06,-0.0008,0.0287087177260407,0.0316150146845761
2023-07,0.0012,0.0299431681873121,0.0399244388866271
2023-08,0.0023,0.032312037474143,0.0460821608752168
2023-09,0.0026,0.0349960487715756,0.0518523462977562
2023-10,0.0024,0.0374800392886274,0.0481924564358993
2023-11,0.0028,0.0403849833986353,0.0468353702957067
2023-12,0.0056,0.0462111393056678,0.0462111393056678
2024-01,0.0042,0.0041999999999999,0.0450663743069243
2024-02,0.0083,0.0125348599999999,0.0449627382126855
2024-03,0.0016,0.0141549157759999,0.039255961268817
2024-04,0.0038,0.0180087044559487,0.0368801649156531
2024-05,0.0046,0.0226915444964459,0.0392595167856582
2024-06,0.0021,0.0248391967398884,0.0422757823968258
2024-07,0.0038,0.0287335856874999,0.0449824514282199
2024-08,-0.0002,0.0285278389703624,0.0423759901605649
2024-09,0.0044,0.033053361461832,0.0442474012739588
2024-10,0.0056,0.0388384602860183,0.0475809923394785
2024-11,0.0039,0.0428899302811338,0.0487301138907088
2024-12,0.0052,0.0483129579185959,0.0483129579185959
2025-01,0.0016,0.0016,0.0455987439267733
2025-02,0.0131,0.0147209600000002,0.0505763041477875
2025-03,0.0056,0.0204033973760002,0.0547718964167485
2025-04,0.0043,0.0247911319847169,0.0552972858849774
2025-05,0.0026,0.0274555889278771,0.0531963555925527
2025-06,0.0024,0.029921482341304,0.0535116523759851
2025-07,0.0026,0.0325992781953914,0.0522522242201262
2025-08,-0.0011,0.0314634189893765,0.0513050077750392
2025-09,0.0048,0.0364144434005255,0.0517236875869764
2025-10,0.0009,0.037347216399586,0.0468081134703706
2025-11,0.0018,0.0392144413891053,0.0446183564843283
2025-12,0.0033,0.04264384904568952,0.04264384904568952
